CODICE,AUTORE,TITOLO,CASA EDITRICE,GENERE/COLLOCAZIONE,LINGUA,ANNO EDIZIONE,;
272,giovanni papa ii,il papa alle donne,newton compton,filosofia e religioni,italiano,1995,;
273,michele paone,il breviario di papa galeazzo,congedo,arte e cultura del territorio,italiano,2001,;
274,amos oz,non dire notte,feltrinelli,romanzo,italiano,2007,;
275,erich fromm,l'arte d'amare,club degli editori,saggi e inchieste,italiano,1963,;
276,autori vari,1000 personaggi che hanno fatto il xx secolo - primo volume,byk gulden,storia e geografia,italiano,2001,;
277,andrea de carlo,di noi tre,mondadori,romanzo,italiano,1997,;
278,valerie anand,la casa nella brughiera,mondadori,romanzo,italiano,2008,;
279,barbara taylor bradford,l'eredita' di un sogno,mondadori,romanzo,italiano,2008,;
280,autori vari (introduzione di enzo biagi),mafia,panorama,saggi e inchieste,italiano,1992,;
281,g. cassieri e altri,la befana vien di notte,manni,bambini e ragazzi,italiano,2004,;
282,a. brackman,l'ultimo imperatore,gente,romanzo,italiano,1975,;
283,g. delle donne,il divino calciatore,pietro manni,poesie/aforismi/albi illustrati,italiano,2000,;
284,conan doyle,il mondo perduto: la valle dei dinosauri,newton compton,classico,italiano,1993,;
285,danielle steel,batte il cuore,donna moderna,romanzo,italiano,1992,;
286,jo nesbo,il pettirosso,piemme,giallo/thriller,italiano,2006,;
287,reg gadney,professione odio,giunti,romanzo,italiano,1995,;
288,luigi pirandello,il turno,mondadori,classico,italiano,2009,;
289,r. pilcher,la casa vuota,mondadori,romanzo,italiano,1999,;
290,mbacke gadji,lo spirito delle sabbie gialle,dell'arco,romanzo,italiano,1999,;
291,maner lualdi,italiani per aria,longanesi,saggio,italiano,1968,;
292,maria venturi,la donna per legare il sole,rizzoli,romanzo,italiano,2001,;
293,massimo giannini e luca machiavelli,sette giorni a dakar,dell'arco,biografia/letteratura d'inchiesta,italiano,2004,;
294,banana yoshimoto,la piccola ombra,feltrinelli,romanzo,italiano,2002,;
295,g. caproni,amore com e ferito il secolo,manni,romanzo,italiano,2006,;
296,oscar wilde,la casa dei melograni,paoline,classici per ragazzi,italiano,1969,;
297,antonio ricchiari,manuale del bonsai,dario flaccovio,manuale,italiano,1986,;
298,a. b. guthrie,il grande cielo,bur,romanzo,italiano,1978,;
299,willy pasini,il coraggio di cambiare,mondadori,saggio,italiano,1999,;
300,stefano benni,bar sport duemila,feltrinelli,romanzo,italiano,1999,;
301,elisabetta fezzi,il vino fatto in casa,gulliver,manuale,italiano,1998,;
302,luciano de crescenzo,ordine e disordine,mondadori,filosofia e religioni,italiano,2005,;
303,lisa cach,appuntamento senza anestesia,mondadori,romanzo,italiano,2002,;
304,dacia maraini,bagheria,rizzoli,romanzo,italiano,1996,;
305,t. n. munari,taj,sperling,romanzo,italiano,1991,;
306,arundhati roy,il dio delle piccole rose,club degli editori,romanzo,italiano,1997,;
307,hubert jaoui,fiorire - guida creativa per il successo e lo sviluppo personale,franco angeli,manuale,italiano,2014,;
308,bruno vespa,il cambio - uomini e retroscena della nuova repubblica,mondadori,saggi e inchieste,italiano,1994,;
309,vincenzo mantovani,la diavolassa,rizzoli,romanzo,italiano,1970,;
310,silvio zavatti,canti degli indiani d'america,newton compton,poesie/aforismi/albi illustrati,italiano,1992,;
311,salman rushdie,i figli della mezzanotte,garzanti,romanzo,italiano,1987,;
312,federico de roberto,i vicere',einaudi,classico,italiano,1990,;
313,w. shakespeare,amleto,silvio berlusconi editore,classico,italiano,1970,;
314,agatha christie,assassinio sull'orient express,hachette,giallo/thriller,italiano,2001,;
315,j. jerome,i pensieri oziosi di un ozioso,bit,romanzo,italiano,1995,;
316,a. schnitzler,doppio sogno,mondadori,romanzo,italiano,1977,;
317,autori vari,1000 personaggi che hanno fatto il xx secolo - secondo volume,byk gulden,storia e geografia,italiano,1970,;
318,cerrone,corso di inglese - 5 volumi,giunti,scolastico,italiano,1997,;
319,blanc e altri,corso di francese - 2 volumi,giunti,scolastico,italiano,1997,;
320,nicoletti e altri,aritmetica e geometria - 2 volumi,cedam,scolastico,italiano,2001,;
321,romeni e altri,numeri figure formule - geometria e aritmetica - 2 volumi,le monnier,scolastico,italiano,2009,;
322,filomia,leggere le figure,le monnier,scolastico,italiano,2009,;
323,cedam,geometria,monnier,scolastico,italiano,2009,;
324,cedam,aritmetica,monnier,scolastico,italiano,2001,;
325,autori vari,numeri-figure-formule - aritmetica,monnier,scolastico,italiano,2001,;
326,autori vari,numeri-figure-formule- geometria,monnier,scolastico,italiano,2001,;
327,antoniotti,geografia generale,paravia,scolastico,italiano,2009,;
328,masetti / pellegrinetti,poeti e prosatori latini 1 (per ist. magistrale),bulgarini,antologia/critica letteraria,italiano,1993,;
329,m. baldini,la filosofia greca,armando scuola,filosofia e religioni,italiano,1991,;
330,autori vari,biologia,deagostini,scienze pure,italiano,1991,;
331,v. calvani-a. giardina,la storia dalle origini alla crisi dell'assolutismo,mondadori,scolastico,italiano,2005,;
332,m. noce - e. di bonzo,itaca,loescher,scolastico,italiano,2003,;
333,walter veltroni,il disco del mondo,rizzoli,biografia,italiano,2003,;
334,jorge bucay,raccontami,rizzoli,romanzo,italiano,1970,;
335,david grossman,che tu sia per me il coltello,mondadori,romanzo,italiano,1970,;
336,fernando pessoa,poesie scelte,passigli,poesie/aforismi/albi illustrati,italiano,1970,;
337,mario garraffo,non commettere atti impuri,cedam,romanzo,italiano,1970,;
338,stendhal,storie romane,orsa maggiore,classico,italiano,1970,;
339,l. pirandello,sei personaggi in cerca d'autore,orsa maggiore,classico,italiano,1970,;
340,marco montanaro,sono un ragazzo fortunato,coolibri,romanzo,italiano,1970,;
341,i giganti,d'annunzio,mondadori,enciclopedia,italiano,1970,;
342,i giganti,manzoni,mondadori,enciclopedia,italiano,1970,;
343,i giganti,foscolo,mondadori,enciclopedia,italiano,1970,;
344,i giganti,schiller,mondadori,enciclopedia,italiano,1970,;
345,i giganti,goethe,mondadori,enciclopedia,italiano,1970,;
346,i giganti,alfieri,mondadori,enciclopedia,italiano,1970,;
